label,support,precision,recall
apple,100,0.5132743362831859,0.58
aquarium_fish,100,0.42696629213483145,0.38
baby,100,0.21052631578947367,0.24
bear,100,0.1518987341772152,0.12
beaver,100,0.1643835616438356,0.12
bed,100,0.24836601307189543,0.38
bee,100,0.47058823529411764,0.4
beetle,100,0.35135135135135137,0.26
bicycle,100,0.43333333333333335,0.52
bottle,100,0.39655172413793105,0.46
bowl,100,0.2916666666666667,0.14
boy,100,0.30434782608695654,0.21
bridge,100,0.23333333333333334,0.28
bus,100,0.25301204819277107,0.21
butterfly,100,0.23893805309734514,0.27
camel,100,0.25,0.13
can,100,0.3253012048192771,0.27
castle,100,0.4186046511627907,0.54
caterpillar,100,0.27927927927927926,0.31
cattle,100,0.26136363636363635,0.23
chair,100,0.40764331210191085,0.64
chimpanzee,100,0.33116883116883117,0.51
clock,100,0.27906976744186046,0.36
cloud,100,0.4716981132075472,0.5
cockroach,100,0.5225225225225225,0.58
couch,100,0.248,0.31
crab,100,0.17777777777777778,0.16
crocodile,100,0.17094017094017094,0.2
cup,100,0.569620253164557,0.45
dinosaur,100,0.30158730158730157,0.19
dolphin,100,0.29411764705882354,0.25
elephant,100,0.32967032967032966,0.3
flatfish,100,0.38181818181818183,0.21
forest,100,0.23529411764705882,0.48
fox,100,0.26,0.26
girl,100,0.21348314606741572,0.19
hamster,100,0.3424657534246575,0.25
house,100,0.20588235294117646,0.28
kangaroo,100,0.1724137931034483,0.15
keyboard,100,0.22826086956521738,0.21
lamp,100,0.29545454545454547,0.26
lawn_mower,100,0.4732824427480916,0.62
leopard,100,0.30097087378640774,0.31
lion,100,0.3783783783783784,0.28
lizard,100,0.12307692307692308,0.08
lobster,100,0.1643835616438356,0.12
man,100,0.2413793103448276,0.14
maple_tree,100,0.5573770491803278,0.34
motorcycle,100,0.44,0.66
mountain,100,0.28654970760233917,0.49
mouse,100,0.1509433962264151,0.08
mushroom,100,0.3229166666666667,0.31
oak_tree,100,0.5573770491803278,0.68
orange,100,0.5454545454545454,0.6
orchid,100,0.3028571428571429,0.53
otter,100,0.13333333333333333,0.02
palm_tree,100,0.4875,0.39
pear,100,0.3898305084745763,0.23
pickup_truck,100,0.3157894736842105,0.42
pine_tree,100,0.2857142857142857,0.2
plain,100,0.6272727272727273,0.69
plate,100,0.4725274725274725,0.43
poppy,100,0.37777777777777777,0.34
porcupine,100,0.2867647058823529,0.39
possum,100,0.11320754716981132,0.18
rabbit,100,0.09345794392523364,0.1
raccoon,100,0.24074074074074073,0.26
ray,100,0.29069767441860467,0.25
road,100,0.49295774647887325,0.7
rocket,100,0.40298507462686567,0.54
rose,100,0.35051546391752575,0.34
sea,100,0.5465116279069767,0.47
seal,100,0.13793103448275862,0.04
shark,100,0.25203252032520324,0.31
shrew,100,0.18699186991869918,0.23
skunk,100,0.4166666666666667,0.5
skyscraper,100,0.5514018691588785,0.59
snail,100,0.11904761904761904,0.05
snake,100,0.11965811965811966,0.14
spider,100,0.2602739726027397,0.38
squirrel,100,0.16666666666666666,0.08
streetcar,100,0.2878787878787879,0.38
sunflower,100,0.6705882352941176,0.57
sweet_pepper,100,0.25663716814159293,0.29
table,100,0.12745098039215685,0.13
tank,100,0.4166666666666667,0.45
telephone,100,0.35,0.42
television,100,0.31007751937984496,0.4
tiger,100,0.21621621621621623,0.16
tractor,100,0.3063063063063063,0.34
train,100,0.23809523809523808,0.15
trout,100,0.3490566037735849,0.37
tulip,100,0.2268041237113402,0.22
turtle,100,0.28205128205128205,0.11
wardrobe,100,0.4928571428571429,0.69
whale,100,0.3188405797101449,0.44
willow_tree,100,0.3142857142857143,0.33
wolf,100,0.1896551724137931,0.22
woman,100,0.18867924528301888,0.1
worm,100,0.3076923076923077,0.08
