epoch,train_loss,train_accuracy,val_loss,val_accuracy,train_seconds,validation_seconds
1,4.190031791856554,0.06962222222222222,3.7702624797821045,0.1276,10.134980200000086,0.4644571000000042
2,3.577844166988797,0.1620888888888889,3.443114757537842,0.1708,2.848383199999944,0.2514280000000326
3,3.3292861751556395,0.20464444444444443,3.3045101165771484,0.2022,3.0493486000000303,0.2631926999999905
4,3.1839096712324353,0.23266666666666666,3.2052924633026123,0.22,3.088037199999917,0.23996420000003127
5,3.07254463013543,0.2533111111111111,3.153987169265747,0.2336,3.0211127000000033,0.220279000000005
6,2.9980225915696885,0.26737777777777777,3.0963661670684814,0.251,2.8209554000000026,0.2152370000000019
7,2.9233571868896484,0.2844,3.0759968757629395,0.2482,3.0845562000000655,0.2584267000000864
8,2.867415517595079,0.2919111111111111,3.0696182250976562,0.243,2.8748690999999553,0.21145869999998013
9,2.8167060635036894,0.3055555555555556,2.9921724796295166,0.2592,2.9017449000000397,0.23770139999999174
10,2.7713370633019343,0.3126,2.960216522216797,0.2728,2.8115154000000757,0.21228949999999713
11,2.727326992967394,0.3223111111111111,2.92801570892334,0.2758,2.9955838000000767,0.2905038000000104
12,2.6881507586161297,0.3298,2.9434878826141357,0.2736,3.003212899999994,0.24995860000001358
