dataset,backend,variant,seed,ablation,accuracy,macro_precision,macro_recall,macro_f1,top5_accuracy,test_loss,best_epoch,best_val_loss,parameter_count,train_seconds,validation_seconds,test_seconds,folder
mnist,numpy,baseline,42,,0.9869,0.9868737039431442,0.9867512400760251,0.9867947521073976,0.9998,0.04028335586190224,5,0.0522632971405983,52138,163.398557600005,7.996547599999758,2.609954399995331,results/mnist_numpy_baseline
mnist,numpy,improved,42,,0.9892,0.9891317721407346,0.9891871226809725,0.9891399639481481,0.9999,0.031553514301776886,5,0.04505034536123276,54666,754.7222413,29.752602800000204,10.184573300000011,results/mnist_numpy_improved
mnist,pytorch,baseline,42,,0.9863,0.9862708188258946,0.9861224039699967,0.9861743851943464,0.9997,0.04036540910601616,5,0.052561599761247635,52138,15.879581399999779,0.26982920000000377,0.09289009999997688,results/mnist_pytorch_baseline
mnist,pytorch,improved,42,,0.9903,0.9902713457818695,0.9901863971467675,0.9902081705959537,0.9999,0.030866757035255432,5,0.04201643168926239,54666,43.840935100000024,1.0648900000003323,0.4409392999998545,results/mnist_pytorch_improved
mnist,tensorflow,baseline,42,,0.9868,0.9867958116314467,0.9866409800568782,0.9866945735127185,0.9997,0.04043249040842056,5,0.05244965851306915,52138,16.845447000000036,0.8131583000001683,0.21375369999998384,results/mnist_tensorflow_baseline
mnist,tensorflow,improved,42,,0.9875,0.9875682554620673,0.9874905981953124,0.9874863772795491,1.0,0.03710358962416649,4,0.04594030603766441,54666,22.118630900000085,0.9431106000001819,0.25919069999997646,results/mnist_tensorflow_improved
cifar10,numpy,baseline,42,,0.6315,0.6340900393650803,0.6315000000000001,0.6285528434248209,0.963,1.0600183010101318,10,1.0713987350463867,67642,631.9135850000001,30.50094059999992,9.034392999999909,results/cifar10_numpy_baseline
cifar10,numpy,improved,42,,0.6643,0.665210518336089,0.6643000000000001,0.6634410992151109,0.9683,0.965280294418335,9,0.9409046769142151,70170,1680.2228905000006,62.327824400000054,13.258101899999929,results/cifar10_numpy_improved
cifar10,pytorch,baseline,42,,0.6303,0.6314521535047647,0.6303,0.6266381972171805,0.9624,1.0617510080337524,10,1.0768320560455322,67642,45.12373220000018,2.342267999999649,0.40947159999996074,results/cifar10_pytorch_baseline
cifar10,pytorch,improved,42,,0.6526,0.661187798099039,0.6526,0.6531118162558844,0.967,0.9990695118904114,9,0.9739655256271362,70170,94.29024159999994,3.1581900999995014,0.6964278000000377,results/cifar10_pytorch_improved
