dataset,backend,variant,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,top5_accuracy_mean,top5_accuracy_std,test_loss_mean,test_loss_std
cifar10,numpy,baseline,0.6266666666666666,0.008632689808705832,0.6284409140374173,0.011912638038329553,0.6266666666666666,0.00863268980870583,0.6238889076392062,0.009882173075950278,0.9611666666666666,0.0031754264805428966,1.0744820435841878,0.025084154240578353
cifar10,numpy,improved,0.6521,0.010645186705736966,0.6533048820596842,0.010821232673669516,0.6521,0.010645186705737126,0.6506718200455694,0.011146319263205418,0.9681000000000001,0.0027055498516937323,0.9854837457338969,0.02079537256472464
cifar10,pytorch,baseline,0.6234000000000001,0.009550392662084553,0.6266615353841519,0.010991158919621219,0.6234000000000001,0.009550392662084628,0.6210182446586971,0.01005190971546435,0.9616333333333333,0.0028290163190291544,1.0765323241551716,0.02109982274578144
cifar10,pytorch,improved,0.6520666666666667,0.0005033222956847256,0.6585289827118417,0.005674697440340227,0.6520666666666667,0.0005033222956847256,0.6513881459609142,0.001520862475306673,0.9681666666666667,0.0011503622617825033,0.9952587087949117,0.004864474173491865
cifar10,tensorflow,baseline,0.6238,0.010998636279102992,0.6249111501425976,0.012465566670053538,0.6238,0.010998636279102912,0.6204684017454417,0.012322665121144464,0.9613,0.0028583211855913687,1.0765016476313274,0.030240164523235216
cifar10,tensorflow,improved,0.6556000000000001,0.006550572494064925,0.6572835929367897,0.006004798048118198,0.6556000000000001,0.006550572494064938,0.6542370816342378,0.007101959434716202,0.9693,0.0009539392014169308,0.9780687491099039,0.015345915349159453
cifar100,numpy,baseline,0.2821,0.02900051723676664,0.2889594825692599,0.02679493897745209,0.2821,0.02900051723676664,0.2693592371020233,0.02981531280590588,0.5781333333333333,0.032471577315143364,2.929220120112101,0.12106205225935349
cifar100,numpy,improved,0.3232,0.0016462077633154436,0.32212700484803797,0.003979404550875645,0.32319999999999993,0.0016462077633154124,0.3143866168737397,0.004711239850502255,0.6233666666666666,0.006657577136866954,2.700479825337728,0.019406480805749967
cifar100,pytorch,baseline,0.2907666666666667,0.019060517656489112,0.2913153677478222,0.021795170276159972,0.2907666666666667,0.019060517656489112,0.2777844143526225,0.019821199097924347,0.5856,0.02744029883219205,2.8955018520355225,0.09785449465256878
cifar100,pytorch,improved,0.32406666666666667,0.002956912804485983,0.32056746040212564,0.006939942070452106,0.32406666666666667,0.002956912804486032,0.31453028909480263,0.00553508911568988,0.6244000000000001,0.00085440037453175,2.698310216267904,0.010486066851694285
cifar100,tensorflow,baseline,0.28436666666666666,0.02196823464307801,0.2858831596492328,0.019039889534646713,0.28436666666666666,0.021968234643078018,0.27031402029606943,0.022781807438059014,0.582,0.02955012690328081,2.9188522497812905,0.11269464549466764
cifar100,tensorflow,improved,0.32536666666666664,0.0013503086067019432,0.3196923653988268,0.005256973870775155,0.32536666666666664,0.001350308606701977,0.3144558440225748,0.003215713914209016,0.6239333333333333,0.006653069467045559,2.696094274520874,0.007027178139189215
mnist,numpy,baseline,0.9854666666666666,0.0012897028081435254,0.9855212714257107,0.001200538388248043,0.9853425681244733,0.001281670993669663,0.9854023480002295,0.0012475307496689525,0.9998666666666667,5.7735026918956215e-05,0.042730990797281265,0.0025966482376365897
mnist,numpy,improved,0.9882,0.0009539392014169512,0.9882079987963754,0.00087317748285271,0.9881360842350401,0.001005726945490388,0.98815586117744,0.00093783211388666,0.9998666666666667,0.00015275252316517785,0.035150203853845596,0.003560450836391397
mnist,pytorch,baseline,0.9853333333333333,0.0010016652800877864,0.9853663362339679,0.0009068199816809625,0.9851983779867091,0.0009921062918801266,0.98525493250419,0.0009494981450419881,0.9998333333333335,0.00011547005383791243,0.04229107002417246,0.002361625984548766
mnist,pytorch,improved,0.9884333333333334,0.0016653327995728561,0.9884332322028367,0.0016259188084788744,0.9882849464113033,0.0016954406231022734,0.9883382525764487,0.0016604940370680901,0.9998666666666667,0.00015275252316517785,0.034774736811717354,0.0034369042429955752
mnist,tensorflow,baseline,0.9853666666666667,0.00126622799421483,0.9854088179861199,0.001209146468740567,0.9852170355644881,0.0012595384812123648,0.9852815600957077,0.0012389137169103936,0.9998333333333335,0.00011547005383791243,0.04219415163000425,0.0025275401320517727
mnist,tensorflow,improved,0.9872666666666667,0.0005859465277082459,0.9873155856377701,0.0006377836789560863,0.9872101003192771,0.0005579486990866413,0.9872350807682401,0.0005959620762325791,0.9998333333333335,0.00020816659994659034,0.038151513785123825,0.001638519291958135
