accuracy,macro_precision,macro_recall,macro_f1,test_loss,top5_accuracy,dataset,backend,variant,parameter_count,train_samples,validation_samples,test_samples,device,epochs,best_epoch,best_val_loss,train_seconds,validation_seconds,test_seconds
0.9869,0.9868737039431442,0.9867512400760251,0.9867947521073976,0.04028335586190224,0.9998,mnist,numpy,baseline,52138,54001,5999,10000,CPU,5,5,0.0522632971405983,163.398557600005,7.996547599999758,2.609954399995331
0.9892,0.9891317721407346,0.9891871226809725,0.9891399639481481,0.031553514301776886,0.9999,mnist,numpy,improved,54666,54001,5999,10000,CPU,5,5,0.04505034536123276,754.7222413,29.752602800000204,10.184573300000011
0.9863,0.9862708188258946,0.9861224039699967,0.9861743851943464,0.04036540910601616,0.9997,mnist,pytorch,baseline,52138,54001,5999,10000,cuda,5,5,0.052561599761247635,15.879581399999779,0.26982920000000377,0.09289009999997688
0.9903,0.9902713457818695,0.9901863971467675,0.9902081705959537,0.030866757035255432,0.9999,mnist,pytorch,improved,54666,54001,5999,10000,cuda,5,5,0.04201643168926239,43.840935100000024,1.0648900000003323,0.4409392999998545
0.9868,0.9867958116314467,0.9866409800568782,0.9866945735127185,0.04043249040842056,0.9997,mnist,tensorflow,baseline,52138,54001,5999,10000,GPU,5,5,0.05244965851306915,16.845447000000036,0.8131583000001683,0.21375369999998384
0.9875,0.9875682554620673,0.9874905981953124,0.9874863772795491,0.03710358962416649,1.0,mnist,tensorflow,improved,54666,54001,5999,10000,GPU,5,4,0.04594030603766441,22.118630900000085,0.9431106000001819,0.25919069999997646
0.6315,0.6340900393650803,0.6315000000000001,0.6285528434248209,1.0600183010101318,0.963,cifar10,numpy,baseline,67642,45000,5000,10000,CPU,10,10,1.0713987350463867,631.9135850000001,30.50094059999992,9.034392999999909
0.6643,0.665210518336089,0.6643000000000001,0.6634410992151109,0.965280294418335,0.9683,cifar10,numpy,improved,70170,45000,5000,10000,CPU,10,9,0.9409046769142151,1680.2228905000006,62.327824400000054,13.258101899999929
0.6303,0.6314521535047647,0.6303,0.6266381972171805,1.0617510080337524,0.9624,cifar10,pytorch,baseline,67642,45000,5000,10000,cuda,10,10,1.0768320560455322,45.12373220000018,2.342267999999649,0.40947159999996074
0.6526,0.661187798099039,0.6526,0.6531118162558844,0.9990695118904114,0.967,cifar10,pytorch,improved,70170,45000,5000,10000,cuda,10,9,0.9739655256271362,94.29024159999994,3.1581900999995014,0.6964278000000377
0.6301,0.6293583897737494,0.6300999999999999,0.6264404742289251,1.0536144971847534,0.9636,cifar10,tensorflow,baseline,67642,45000,5000,10000,GPU,10,10,1.065341591835022,33.10936189999995,2.5231134999999085,0.6293158000000858
0.6602,0.662614142136904,0.6602,0.6587967461451301,0.9631780385971069,0.9683,cifar10,tensorflow,improved,70170,45000,5000,10000,GPU,10,8,0.9607269763946533,44.21590160000005,2.564989500000138,0.4890867999999955
0.2823,0.29791381741788525,0.2823,0.2735356782527482,2.9223222732543945,0.5795,cifar100,numpy,baseline,73492,45000,5000,10000,CPU,12,12,2.948519229888916,1195.8336056000003,50.60198109999965,8.500315499999942
0.3242,0.3219177255174802,0.32419999999999993,0.31680670557094126,2.680800676345825,0.6302,cifar100,numpy,improved,76020,45000,5000,10000,CPU,12,12,2.6916356086730957,2044.6105360000006,78.29523630000222,10.678377100000034
0.2884,0.2918309823381622,0.2884,0.2773032131014429,2.885165214538574,0.5888,cifar100,pytorch,baseline,73492,45000,5000,10000,cuda,12,12,2.90659499168396,56.8909208,2.8151703000000907,0.4547888999998122
0.3215,0.3147501616255677,0.3215,0.3098218295610212,2.697511672973633,0.6235,cifar100,pytorch,improved,76020,45000,5000,10000,cuda,12,11,2.705066204071045,113.4164609000004,3.6973362000003362,0.5409495000001243
0.2854,0.29012078123852336,0.28540000000000004,0.27437533609317116,2.907139539718628,0.5819,cifar100,tensorflow,baseline,73492,45000,5000,10000,GPU,12,11,2.92801570892334,42.63429960000019,3.114896700000145,0.7087721999999985
0.3254,0.31475124760142603,0.3253999999999999,0.3127305397536799,2.690552234649658,0.6285,cifar100,tensorflow,improved,76020,45000,5000,10000,GPU,12,11,2.6942574977874756,51.9936481999996,3.256840400000101,0.5110290000000077
